No.,Starting_Point,Hub_Names_Starting,Ending_Point,Hub_Names_Ending,Distance
127,China,Guangzhou Baiyun International Airport (CAN),Philippines,Manila Ninoy Aquino International Airport (MNL),1275
128,China,Guangzhou Baiyun International Airport (CAN),Vietnam,Tan Son Nhat International Airport (SGN),1561
129,China,Guangzhou Baiyun International Airport (CAN),Bangladesh,Hazrat Shahjalal International Airport (DAC),2336
130,China,Guangzhou Baiyun International Airport (CAN),Pakistan,Jinnah International Airport (KHI),4670
131,China,Guangzhou Baiyun International Airport (CAN),UAE,Dubai International Airport (DXB),5838
132,China,Guangzhou Baiyun International Airport (CAN),Qatar,Hamad International Airport (DOH),6208
133,China,Guangzhou Baiyun International Airport (CAN),Turkey,Istanbul Airport (IST),7897
134,China,Guangzhou Baiyun International Airport (CAN),Saudi Arabia,King Abdulaziz International Airport (JED),7540
135,China,Beijing Capital International Airport (PEK),Hong Kong,Hong Kong International Airport (HKG),1987
136,China,Beijing Capital International Airport (PEK),China,Shanghai Pudong International Airport (PVG),1098
137,China,Beijing Capital International Airport (PEK),China,Guangzhou Baiyun International Airport (CAN),1876
138,China,Beijing Capital International Airport (PEK),South Korea,Incheon International Airport (ICN),904
139,China,Beijing Capital International Airport (PEK),Singapore,Singapore Changi Airport (SIN),4474
140,China,Beijing Capital International Airport (PEK),Taiwan,Taiwan Taoyuan International Airport (TPE),1719
141,China,Beijing Capital International Airport (PEK),Japan,Narita International Airport (NRT),2140
142,China,Beijing Capital International Airport (PEK),Japan,Tokyo Haneda Airport (HND),2097
143,China,Beijing Capital International Airport (PEK),Malaysia,Kuala Lumpur International Airport (KUL),4399
144,China,Beijing Capital International Airport (PEK),Thailand,Bangkok Suvarnabhumi Airport (BKK),3308
145,China,Beijing Capital International Airport (PEK),India,Delhi Indira Gandhi International Airport (DEL),3816
146,China,Beijing Capital International Airport (PEK),India,Chennai International Airport (MAA),4653
147,China,Beijing Capital International Airport (PEK),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),5216
148,China,Beijing Capital International Airport (PEK),Philippines,Manila Ninoy Aquino International Airport (MNL),2867
149,China,Beijing Capital International Airport (PEK),Vietnam,Tan Son Nhat International Airport (SGN),3387
150,China,Beijing Capital International Airport (PEK),Bangladesh,Hazrat Shahjalal International Airport (DAC),3041
151,China,Beijing Capital International Airport (PEK),Pakistan,Jinnah International Airport (KHI),4870
152,China,Beijing Capital International Airport (PEK),UAE,Dubai International Airport (DXB),5855
153,China,Beijing Capital International Airport (PEK),Qatar,Hamad International Airport (DOH),6173
154,China,Beijing Capital International Airport (PEK),Turkey,Istanbul Airport (IST),7077
155,China,Beijing Capital International Airport (PEK),Saudi Arabia,King Abdulaziz International Airport (JED),7450
156,South Korea,Incheon International Airport (ICN),Hong Kong,Hong Kong International Airport (HKG),2065
157,South Korea,Incheon International Airport (ICN),China,Shanghai Pudong International Airport (PVG),820
158,South Korea,Incheon International Airport (ICN),China,Guangzhou Baiyun International Airport (CAN),2001
159,South Korea,Incheon International Airport (ICN),China,Beijing Capital International Airport (PEK),904
160,South Korea,Incheon International Airport (ICN),Singapore,Singapore Changi Airport (SIN),4613
161,South Korea,Incheon International Airport (ICN),Taiwan,Taiwan Taoyuan International Airport (TPE),1459
162,South Korea,Incheon International Airport (ICN),Japan,Narita International Airport (NRT),1261
163,South Korea,Incheon International Airport (ICN),Japan,Tokyo Haneda Airport (HND),1213
164,South Korea,Incheon International Airport (ICN),Malaysia,Kuala Lumpur International Airport (KUL),4600
165,South Korea,Incheon International Airport (ICN),Thailand,Bangkok Suvarnabhumi Airport (BKK),3663
166,South Korea,Incheon International Airport (ICN),India,Delhi Indira Gandhi International Airport (DEL),4661
167,South Korea,Incheon International Airport (ICN),India,Chennai International Airport (MAA),5320
168,South Korea,Incheon International Airport (ICN),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),5244
169,South Korea,Incheon International Airport (ICN),Philippines,Manila Ninoy Aquino International Airport (MNL),2599
170,South Korea,Incheon International Airport (ICN),Bangladesh,Hazrat Shahjalal International Airport (DAC),3740
171,South Korea,Incheon International Airport (ICN),Pakistan,Jinnah International Airport (KHI),5725
172,South Korea,Incheon International Airport (ICN),UAE,Dubai International Airport (DXB),6740
173,South Korea,Incheon International Airport (ICN),Qatar,Hamad International Airport (DOH),7065
174,South Korea,Incheon International Airport (ICN),Turkey,Istanbul Airport (IST),7942
175,South Korea,Incheon International Airport (ICN),Saudi Arabia,King Abdulaziz International Airport (JED),8349
176,Singapore,Singapore Changi Airport (SIN),Hong Kong,Hong Kong International Airport (HKG),2556
177,Singapore,Singapore Changi Airport (SIN),China,Shanghai Pudong International Airport (PVG),3794
178,Singapore,Singapore Changi Airport (SIN),China,Guangzhou Baiyun International Airport (CAN),2638
179,Singapore,Singapore Changi Airport (SIN),China,Beijing Capital International Airport (PEK),4474
180,Singapore,Singapore Changi Airport (SIN),South Korea,Incheon International Airport (ICN),4613
181,Singapore,Singapore Changi Airport (SIN),Taiwan,Taiwan Taoyuan International Airport (TPE),3213
182,Singapore,Singapore Changi Airport (SIN),Japan,Narita International Airport (NRT),5351
183,Singapore,Singapore Changi Airport (SIN),Japan,Tokyo Haneda Airport (HND),5292
184,Singapore,Singapore Changi Airport (SIN),Malaysia,Kuala Lumpur International Airport (KUL),297
185,Singapore,Singapore Changi Airport (SIN),Thailand,Bangkok Suvarnabhumi Airport (BKK),1411
186,Singapore,Singapore Changi Airport (SIN),India,Delhi Indira Gandhi International Airport (DEL),4151
187,Singapore,Singapore Changi Airport (SIN),India,Chennai International Airport (MAA),2925
188,Singapore,Singapore Changi Airport (SIN),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),878
189,Singapore,Singapore Changi Airport (SIN),Philippines,Manila Ninoy Aquino International Airport (MNL),2372
190,Singapore,Singapore Changi Airport (SIN),Vietnam,Tan Son Nhat International Airport (SGN),1087
191,Singapore,Singapore Changi Airport (SIN),Bangladesh,Hazrat Shahjalal International Airport (DAC),2889
192,Singapore,Singapore Changi Airport (SIN),Pakistan,Jinnah International Airport (KHI),4738
193,Singapore,Singapore Changi Airport (SIN),UAE,Dubai International Airport (DXB),5847
194,Singapore,Singapore Changi Airport (SIN),Qatar,Hamad International Airport (DOH),6208
195,Singapore,Singapore Changi Airport (SIN),Turkey,Istanbul Airport (IST),8681
196,Singapore,Singapore Changi Airport (SIN),Saudi Arabia,King Abdulaziz International Airport (JED),7365
197,Taiwan,Taiwan Taoyuan International Airport (TPE),Hong Kong,Hong Kong International Airport (HKG),806
198,Taiwan,Taiwan Taoyuan International Airport (TPE),China,Shanghai Pudong International Airport (PVG),675
199,Taiwan,Taiwan Taoyuan International Airport (TPE),China,Guangzhou Baiyun International Airport (CAN),826
200,Taiwan,Taiwan Taoyuan International Airport (TPE),China,Beijing Capital International Airport (PEK),1719
201,Taiwan,Taiwan Taoyuan International Airport (TPE),South Korea,Incheon International Airport (ICN),1459
202,Taiwan,Taiwan Taoyuan International Airport (TPE),Singapore,Singapore Changi Airport (SIN),3213
203,Taiwan,Taiwan Taoyuan International Airport (TPE),Japan,Narita International Airport (NRT),2183
204,Taiwan,Taiwan Taoyuan International Airport (TPE),Japan,Tokyo Haneda Airport (HND),2123
205,Taiwan,Taiwan Taoyuan International Airport (TPE),Malaysia,Kuala Lumpur International Airport (KUL),3239
206,Taiwan,Taiwan Taoyuan International Airport (TPE),Thailand,Bangkok Suvarnabhumi Airport (BKK),2488
207,Taiwan,Taiwan Taoyuan International Airport (TPE),India,Delhi Indira Gandhi International Airport (DEL),4380
208,Taiwan,Taiwan Taoyuan International Airport (TPE),India,Chennai International Airport (MAA),4505
209,Taiwan,Taiwan Taoyuan International Airport (TPE),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),3796
210,Taiwan,Taiwan Taoyuan International Airport (TPE),Philippines,Manila Ninoy Aquino International Airport (MNL),1170
