No.,Starting_Point,Hub_Names_Starting,Ending_Point,Hub_Names_Ending,Distance
584,Thailand,Bangkok Suvarnabhumi Airport (BKK),Australia,Melbourne Airport (MEL),7316
585,Thailand,Bangkok Suvarnabhumi Airport (BKK),US,Los Angeles International Airport (LAX),13308
586,Thailand,Bangkok Suvarnabhumi Airport (BKK),US,Chicago O'Hare International Airport (ORD),13778
587,Thailand,Bangkok Suvarnabhumi Airport (BKK),US,John F. Kennedy International Airport (JFK),13963
588,India,Delhi Indira Gandhi International Airport (DEL),Australia,Sydney Kingsford Smith Airport (SYD),10421
589,India,Delhi Indira Gandhi International Airport (DEL),Australia,Melbourne Airport (MEL),10174
590,India,Delhi Indira Gandhi International Airport (DEL),US,Los Angeles International Airport (LAX),12898
591,India,Delhi Indira Gandhi International Airport (DEL),US,Chicago O'Hare International Airport (ORD),12045
592,India,Delhi Indira Gandhi International Airport (DEL),US,John F. Kennedy International Airport (JFK),11778
593,India,Chennai International Airport (MAA),Australia,Sydney Kingsford Smith Airport (SYD),9122
594,India,Chennai International Airport (MAA),Australia,Melbourne Airport (MEL),8764
595,India,Chennai International Airport (MAA),US,Los Angeles International Airport (LAX),14453
596,India,Chennai International Airport (MAA),US,Chicago O'Hare International Airport (ORD),13798
597,India,Chennai International Airport (MAA),US,John F. Kennedy International Airport (JFK),13491
598,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Australia,Sydney Kingsford Smith Airport (SYD),5517
599,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Australia,Melbourne Airport (MEL),5206
600,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),US,Los Angeles International Airport (LAX),14460
601,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),US,Chicago O'Hare International Airport (ORD),15782
602,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),US,John F. Kennedy International Airport (JFK),16180
603,Philippines,Manila Ninoy Aquino International Airport (MNL),Australia,Sydney Kingsford Smith Airport (SYD),6242
604,Philippines,Manila Ninoy Aquino International Airport (MNL),Australia,Melbourne Airport (MEL),6291
605,Philippines,Manila Ninoy Aquino International Airport (MNL),US,Los Angeles International Airport (LAX),11756
606,Philippines,Manila Ninoy Aquino International Airport (MNL),US,Chicago O'Hare International Airport (ORD),13087
607,Philippines,Manila Ninoy Aquino International Airport (MNL),US,John F. Kennedy International Airport (JFK),13712
608,Vietnam,Tan Son Nhat International Airport (SGN),Australia,Sydney Kingsford Smith Airport (SYD),6833
609,Vietnam,Tan Son Nhat International Airport (SGN),Australia,Melbourne Airport (MEL),6683
610,Vietnam,Tan Son Nhat International Airport (SGN),US,Los Angeles International Airport (LAX),13146
611,Vietnam,Tan Son Nhat International Airport (SGN),US,Chicago O'Hare International Airport (ORD),13974
612,Vietnam,Tan Son Nhat International Airport (SGN),US,John F. Kennedy International Airport (JFK),14307
613,Bangladesh,Hazrat Shahjalal International Airport (DAC),Australia,Sydney Kingsford Smith Airport (SYD),9067
614,Bangladesh,Hazrat Shahjalal International Airport (DAC),Australia,Melbourne Airport (MEL),8876
615,Bangladesh,Hazrat Shahjalal International Airport (DAC),US,Los Angeles International Airport (LAX),12924
616,Bangladesh,Hazrat Shahjalal International Airport (DAC),US,Chicago O'Hare International Airport (ORD),12715
617,Bangladesh,Hazrat Shahjalal International Airport (DAC),US,John F. Kennedy International Airport (JFK),12680
618,Pakistan,Jinnah International Airport (KHI),Australia,Sydney Kingsford Smith Airport (SYD),11001
619,Pakistan,Jinnah International Airport (KHI),Australia,Melbourne Airport (MEL),10661
620,Pakistan,Jinnah International Airport (KHI),US,Los Angeles International Airport (LAX),13465
621,Pakistan,Jinnah International Airport (KHI),US,Chicago O'Hare International Airport (ORD),12170
622,Pakistan,Jinnah International Airport (KHI),US,John F. Kennedy International Airport (JFK),11705
623,UAE,Dubai International Airport (DXB),Australia,Sydney Kingsford Smith Airport (SYD),12039
624,UAE,Dubai International Airport (DXB),Australia,Melbourne Airport (MEL),11637
625,UAE,Dubai International Airport (DXB),US,Los Angeles International Airport (LAX),13420
626,UAE,Dubai International Airport (DXB),US,Chicago O'Hare International Airport (ORD),11662
627,UAE,Dubai International Airport (DXB),US,John F. Kennedy International Airport (JFK),11022
628,Qatar,Hamad International Airport (DOH),Australia,Sydney Kingsford Smith Airport (SYD),12371
629,Qatar,Hamad International Airport (DOH),Australia,Melbourne Airport (MEL),11950
630,Qatar,Hamad International Airport (DOH),US,Los Angeles International Airport (LAX),13367
631,Qatar,Hamad International Airport (DOH),US,Chicago O'Hare International Airport (ORD),11479
632,Qatar,Hamad International Airport (DOH),US,John F. Kennedy International Airport (JFK),10789
633,Turkey,Istanbul Airport (IST),Australia,Sydney Kingsford Smith Airport (SYD),14967
634,Turkey,Istanbul Airport (IST),Australia,Melbourne Airport (MEL),14634
635,Turkey,Istanbul Airport (IST),US,Los Angeles International Airport (LAX),11026
636,Turkey,Istanbul Airport (IST),US,Chicago O'Hare International Airport (ORD),8809
637,Turkey,Istanbul Airport (IST),US,John F. Kennedy International Airport (JFK),8047
638,Saudi Arabia,King Abdulaziz International Airport (JED),Australia,Sydney Kingsford Smith Airport (SYD),13309
639,Saudi Arabia,King Abdulaziz International Airport (JED),Australia,Melbourne Airport (MEL),12799
640,Saudi Arabia,King Abdulaziz International Airport (JED),US,Los Angeles International Airport (LAX),13410
641,Saudi Arabia,King Abdulaziz International Airport (JED),US,Chicago O'Hare International Airport (ORD),11111
642,Saudi Arabia,King Abdulaziz International Airport (JED),US,John F. Kennedy International Airport (JFK),10243
643,Hong Kong,Hong Kong International Airport (HKG),Germany,Frankfurt Airport (FRA),9100
644,China,Shanghai Pudong International Airport (PVG),France,Paris Charles de Gaulle Airport (CDG),9300
645,South Korea,Incheon International Airport (ICN),Netherlands,Amsterdam Schiphol Airport (AMS),8600
646,Singapore,Singapore Changi Airport (SIN),United Kingdom,London Heathrow Airport (LHR),10900
647,Japan,Tokyo Narita International Airport (NRT),Germany,Frankfurt Airport (FRA),9400
648,China,Beijing Capital International Airport (PEK),France,Paris Charles de Gaulle Airport (CDG),8200
649,Malaysia,Kuala Lumpur International Airport (KUL),Netherlands,Amsterdam Schiphol Airport (AMS),10200
650,Thailand,Bangkok Suvarnabhumi Airport (BKK),United Kingdom,London Heathrow Airport (LHR),9600
651,India,Delhi Indira Gandhi International Airport (DEL),Germany,Frankfurt Airport (FRA),6100
652,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),France,Paris Charles de Gaulle Airport (CDG),11400
653,Philippines,Manila Ninoy Aquino International Airport (MNL),Netherlands,Amsterdam Schiphol Airport (AMS),10500
654,Vietnam,Ho Chi Minh City Tan Son Nhat Airport (SGN),United Kingdom,London Heathrow Airport (LHR),10200
655,Vietnam,Hanoi Noi Bai International Airport (HAN),Germany,Frankfurt Airport (FRA),8900
656,Taiwan,Taipei Taoyuan International Airport (TPE),Germany,Frankfurt Airport (FRA),9400
657,China,Guangzhou Baiyun International Airport (CAN),France,Paris Charles de Gaulle Airport (CDG),9500
658,China,Chengdu Shuangliu International Airport (CTU),Netherlands,Amsterdam Schiphol Airport (AMS),8200
659,China,Shenzhen Bao'an International Airport (SZX),Germany,Frankfurt Airport (FRA),9100
660,India,Mumbai Chhatrapati Shivaji Maharaj International Airport (BOM),United Kingdom,London Heathrow Airport (LHR),7200
661,India,Chennai International Airport (MAA),France,Paris Charles de Gaulle Airport (CDG),8000
662,Sri Lanka,Colombo Bandaranaike International Airport (CMB),Germany,Frankfurt Airport (FRA),8500
663,Bangladesh,Dhaka Hazrat Shahjalal International Airport (DAC),Netherlands,Amsterdam Schiphol Airport (AMS),7500
664,Pakistan,Karachi Jinnah International Airport (KHI),United Kingdom,London Heathrow Airport (LHR),6800
665,Pakistan,Lahore Allama Iqbal International Airport (LHE),France,Paris Charles de Gaulle Airport (CDG),6500
666,Nepal,Kathmandu Tribhuvan International Airport (KTM),Germany,Frankfurt Airport (FRA),6700
667,Myanmar,Yangon International Airport (RGN),Netherlands,Amsterdam Schiphol Airport (AMS),8800
668,Cambodia,Phnom Penh International Airport (PNH),United Kingdom,London Heathrow Airport (LHR),10000
669,Laos,Vientiane Wattay International Airport (VTE),France,Paris Charles de Gaulle Airport (CDG),9500
670,Mongolia,Ulaanbaatar Chinggis Khaan International Airport (ULN),Germany,Frankfurt Airport (FRA),7000
